,zone,start,day_of_week,date,time,total_spaces,free_spaces
0,407 - Oakland 1,2018-01-01 00:00:00-05:00,Monday,01-01,00:00:00,227,227
1,407 - Oakland 1,2018-01-01 00:10:00-05:00,Monday,01-01,00:10:00,227,227
2,407 - Oakland 1,2018-01-01 00:20:00-05:00,Monday,01-01,00:20:00,227,227
3,407 - Oakland 1,2018-01-01 00:30:00-05:00,Monday,01-01,00:30:00,227,227
4,407 - Oakland 1,2018-01-01 00:40:00-05:00,Monday,01-01,00:40:00,227,227
5,407 - Oakland 1,2018-01-01 00:50:00-05:00,Monday,01-01,00:50:00,227,227
6,407 - Oakland 1,2018-01-01 01:00:00-05:00,Monday,01-01,01:00:00,227,227
7,407 - Oakland 1,2018-01-01 01:10:00-05:00,Monday,01-01,01:10:00,227,227
8,407 - Oakland 1,2018-01-01 01:20:00-05:00,Monday,01-01,01:20:00,227,227
9,407 - Oakland 1,2018-01-01 01:30:00-05:00,Monday,01-01,01:30:00,227,227
10,407 - Oakland 1,2018-01-01 01:40:00-05:00,Monday,01-01,01:40:00,227,227
11,407 - Oakland 1,2018-01-01 01:50:00-05:00,Monday,01-01,01:50:00,227,227
12,407 - Oakland 1,2018-01-01 02:00:00-05:00,Monday,01-01,02:00:00,227,227
13,407 - Oakland 1,2018-01-01 02:10:00-05:00,Monday,01-01,02:10:00,227,227
14,407 - Oakland 1,2018-01-01 02:20:00-05:00,Monday,01-01,02:20:00,227,227
15,407 - Oakland 1,2018-01-01 02:30:00-05:00,Monday,01-01,02:30:00,227,227
16,407 - Oakland 1,2018-01-01 02:40:00-05:00,Monday,01-01,02:40:00,227,227
17,407 - Oakland 1,2018-01-01 02:50:00-05:00,Monday,01-01,02:50:00,227,227
18,407 - Oakland 1,2018-01-01 03:00:00-05:00,Monday,01-01,03:00:00,227,227
19,407 - Oakland 1,2018-01-01 03:10:00-05:00,Monday,01-01,03:10:00,227,227
20,407 - Oakland 1,2018-01-01 03:20:00-05:00,Monday,01-01,03:20:00,227,227
21,407 - Oakland 1,2018-01-01 03:30:00-05:00,Monday,01-01,03:30:00,227,227
